BOOK_ID,last_name,first_name,title,Date,url
2753,Stephens,Walter,Blackfriars Or The Monks Of Old A Romantic Chronicle,1864,"https://archive.org/details/texts?&and[]=Blackfriars%20Or%20The%20Monks%20Of%20Old%20A%20Romantic%20Chronicle&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stephens"""
2754,Stephenson,Eliza,St Olaves,1863,"https://archive.org/details/texts?&and[]=St%20Olaves&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stephenson"""
2755,Sterling,John,Fitzgeorge A Novel,1832,"https://archive.org/details/texts?&and[]=Fitzgeorge%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Sterling"""
2756,Sterne,Laurence,A Sentimental Journey Through France And Italy,1768,"https://archive.org/details/texts?&and[]=A%20Sentimental%20Journey%20Through%20France%20And%20Italy&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Sterne"""
2757,Sterne,Laurence,The Life And Opinions Of Tristram Shandy Gentleman,1759,"https://archive.org/details/texts?&and[]=The%20Life%20And%20Opinions%20Of%20Tristram%20Shandy%20Gentleman&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Sterne"""
2758,Stevens,Augusta,Miss Hildreth A Novel,1888,"https://archive.org/details/texts?&and[]=Miss%20Hildreth%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stevens"""
2759,Stevens,George,The History Of Tom Fool,1760,"https://archive.org/details/texts?&and[]=The%20History%20Of%20Tom%20Fool&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stevens"""
2760,Stevens,Grace,Llewellen Or The Vale Of Phlinlimmon A Novel,1818,"https://archive.org/details/texts?&and[]=Llewellen%20Or%20The%20Vale%20Of%20Phlinlimmon%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stevens"""
2761,Stevenson,Robert,Island Nights Entertainments Consisting Of The Beach Of Falesxx The Bottle Imp The Isle Of Voices,1893,"https://archive.org/details/texts?&and[]=Island%20Nights%20Entertainments%20Consisting%20Of%20The%20Beach%20Of%20Falesxx%20The%20Bottle%20Imp%20The%20Isle%20Of%20Voices&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stevenson"""
2762,Stevenson,Robert,Kidnapped Being Memoirs Of The Adventures Of David Balfour In The Year 1751,1886,"https://archive.org/details/texts?&and[]=Kidnapped%20Being%20Memoirs%20Of%20The%20Adventures%20Of%20David%20Balfour%20In%20The%20Year%201751&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stevenson"""
